link,address,price,price_num,beds,bath,cars,suburb
https://www.realestate.com.au/property-apartment-nsw-annandale-403825360,"1/189A Parramatta Road, Annandale, NSW 2038",$445 per week,445.0,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-424710326,"26/29-31 Johnston Street, Annandale, NSW 2038",$460 per week,460.0,2,1,1,annandale
https://www.realestate.com.au/property-unit-nsw-annandale-425172754,"209A Parramatta Road, Annandale, NSW 2038",DEPOSIT TAKEN,,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425542786,"32/44 Collins Street, Annandale, NSW 2038",$570 per week,570.0,2,1,1,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425224734,"20 Wells Street, Annandale, NSW 2038",$595,595.0,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425510334,"38/44 Collins Street, Annandale, NSW 2038",$620 per week,620.0,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425670086,"43/268 Johnston Street, Annandale, NSW 2038",$730pw,,2,1,1,annandale
https://www.realestate.com.au/property-townhouse-nsw-annandale-425650146,"103 Young Street, Annandale, NSW 2038",$650,650.0,2,1,0,annandale
https://www.realestate.com.au/property-unit-nsw-annandale-416229717,"3/2 Young Street, Annandale, NSW 2038",$695 per week,695.0,2,2,1,annandale
https://www.realestate.com.au/property-terrace-nsw-annandale-425577210,"59 Booth Street, Annandale, NSW 2038",$750,750.0,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425456162,"268 Johnston Street, Annandale, NSW 2038",$700pw,,2,1,1,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425561626,"9/2 Hutchinson Street, Annandale, NSW 2038",Deposit Taken $740 per week,740.0,2,1,1,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425234834,"297 Young Street, Annandale, NSW 2038",$790 per week,790.0,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425518242,"27/45 Trafalgar Street, Annandale, NSW 2038",$795 per week,795.0,2,2,2,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425491878,"239 Johnston Street, Annandale, NSW 2038",Deposit Taken $795 per week,795.0,3,2,0,annandale
https://www.realestate.com.au/property-house-nsw-annandale-422881582,"239 Young Street, Annandale, NSW 2038",...Taken $775 per week,775.0,3,1,1,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425555070,"95 View Street, Annandale, NSW 2038",$810 per week,810.0,2,1,0,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-421523670,"24/45 Trafalgar Street, Annandale, NSW 2038",$790 per week,790.0,2,2,1,annandale
https://www.realestate.com.au/property-apartment-nsw-annandale-425603302,"41/62 Booth Street, Annandale, NSW 2038",$795 per week,795.0,2,2,1,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425536290,"67 Ferris Street, Annandale, NSW 2038",Deposit taken,,2,1,0,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425625638,"5 Clarke Street, Annandale, NSW 2038",APPLICATION/DEPOSIT TAKEN,,2,1,0,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425580562,"26 Collins Street, Annandale, NSW 2038",$800,800.0,2,1,0,annandale
https://www.realestate.com.au/property-house-nsw-annandale-409964763,"13/3 Booth Street, Annandale, NSW 2038",$820 per week,820.0,3,1,1,annandale
https://www.realestate.com.au/property-house-nsw-annandale-425491898,"170 Albion Street, Annandale, NSW 2038",$880 per week,880.0,2,1,0,annandale
https://www.realestate.com.au/property-house-nsw-annandale-404532400,"211 Young Street, Annandale, NSW 2038",$840 per week,840.0,2,1,1,annandale
https://www.realestate.com.au/property-townhouse-nsw-annandale-425381106,"15/33 Trafalgar Street, Annandale, NSW 2038",$850 per week,850.0,2,2,2,annandale
