link,price,price_num,beds,bath,cars,suburb
https://www.realestate.com.au/property-apartment-nsw-ashfield-420858638,$370 per week,370.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425221126,$380 per week,380.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425566806,$400 per week,400.0,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-415999985,$400.00 per week,200.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-422643802,$400 per week,400.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-422449894,$400 per week,400.0,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-419060110,$410 per week,410.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-401472783,$410 per week,410.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425455114,$420 per week,420.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425230406,DEPOSIT TAKEN,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425597322,$425 per week,425.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-423263990,$430 - $450 per week,440.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425145014,$435 per week,435.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-424736298,$439 per week,439.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424153550,$440-$460 Per Week,,2,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-422540502,$440-$460 Per Week,,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425190230,$440 per week,440.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-402415245,$440 per week,440.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425580302,$445-$460,,2,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425639686,$450 per week,450.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425633694,$450 per week,450.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-423859034,$450 Per Week,450.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425602822,$450-$470,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425580306,$450-$465,,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-415861169,$450 per week,450.0,2,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425466802,DEPOSIT TAKEN BY ZOOM RE,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425458702,$460,460.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425364682,$450 per week,450.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425235394,... INSPECTIONS CANCELLED,,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425190782,$450 per week,450.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424949502,DEPOSIT TAKEN!!!,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-419120910,$455 per week,455.0,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-420103950,$460 per week,460.0,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-414693639,$460 per week,460.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-423604650,$460P/W,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-415797607,$465 per week,465.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425655566,$470 per week,470.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425648534,$470 per week,470.0,2,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425640518,$470 per week,470.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-415548863,$470P/W,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-422803346,$470 per week,470.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425322202,$470 per week,470.0,2,2,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-403180378,$475 per week,475.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425680118,$480 per week,480.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425593910,$480 Per Week,480.0,2,1,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425528666,$480-$510 Per Week,,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425607962,$490 per week,490.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-423664866,$490-$530 Per Week,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-418570698,$480-500 per Week,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425594378,$500,500.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425546258,$500 per week,500.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-422063442,$500 Per Week,500.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-419589026,$500.00 per week,250.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-405090478,$510 per week,510.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425656798,$560 Weekly,560.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-418962058,$510 per week,510.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425205994,$510 per week,510.0,2,1,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-423382154,$510.00 per week,255.0,2,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-422476914,$540 - $555 Per Week,547.5,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-417388434,$520P/W,,2,1,2,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-419603494,$520 per week,520.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425320998,$525P/W,,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425576150,$540 per week,540.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425512546,$540 Per Week,540.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425596970,$550 per week,550.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424151314,$550,550.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-415798747,$550 per week,550.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-418359942,$550 per week,550.0,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425170186,$560 Per Week,560.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-424742250,Deposit Taken,,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425646458,$570pw,,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424818230,$570 Per Week,570.0,3,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425623606,$570 - $590 Per Week,580.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424262766,$575,575.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425488466,$575 Per Week,575.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425555942,$580 - $640 Per Week,610.0,2,2,1,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-417037398,DEPOSIT RECEIVED,,3,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424908250,RENT FREE INCENTIVE,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-404644337,$590P/W,,2,2,1,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-425602534,$590 to $600,595.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425569434,$590 per week,590.0,2,1,1,ashfield
