link,price,price_num,beds,bath,cars
https://www.realestate.com.au/property-flat-nsw-cardiff-425533226,$310-$355,,2,1,0
https://www.realestate.com.au/property-house-nsw-cardiff-425420078,Offers over $355 per week,355.0,2,1,1
https://www.realestate.com.au/property-house-nsw-cardiff-425569506,Offers Over $345 per week,345.0,2,1,1
https://www.realestate.com.au/property-house-nsw-cardiff-425688962,$380 per week,380.0,3,1,0
https://www.realestate.com.au/property-flat-nsw-cardiff-425639914,$380 per week,380.0,2,1,1
https://www.realestate.com.au/property-house-nsw-cardiff-424372926,$400,400.0,3,1,1
https://www.realestate.com.au/property-house-nsw-cardiff-425600546,$400 per week,400.0,2,1,2
https://www.realestate.com.au/property-house-nsw-cardiff-425680758,$410 per week,410.0,3,1,2
https://www.realestate.com.au/property-house-nsw-cardiff-425628498,$420.00 per week,210.0,3,2,1
https://www.realestate.com.au/property-unit-nsw-cardiff-419170278,$420 per week,420.0,2,2,2
https://www.realestate.com.au/property-house-nsw-cardiff-421242526,$420.00,210.0,3,1,0
https://www.realestate.com.au/property-house-nsw-cardiff-425661594,$430 per week,430.0,3,1,1
https://www.realestate.com.au/property-townhouse-nsw-cardiff-420666222,$430 per week,430.0,3,2,1
https://www.realestate.com.au/property-house-nsw-cardiff-425461686,$415 Per Week,415.0,3,1,1
https://www.realestate.com.au/property-house-nsw-cardiff-425478778,$450 wk,450.0,3,1,1
https://www.realestate.com.au/property-house-nsw-cardiff-422686314,$500 per week,500.0,3,2,1
