link,price,price_num,beds,bath,cars
https://www.realestate.com.au/property-apartment-nsw-hamilton-417448142,$200 per week,200.0,25,11,0
https://www.realestate.com.au/property-unit-nsw-hamilton-425329790,$280 per week,280.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-hamilton-417548518,$310p/w,,2,1,1
https://www.realestate.com.au/property-house-nsw-hamilton-410156559,$315 per week,315.0,2,1,1
https://www.realestate.com.au/property-house-nsw-hamilton-420132294,$320.00 per week,160.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-hamilton-422777522,$350 wk,350.0,2,1,1
https://www.realestate.com.au/property-duplex+semi+detached-nsw-hamilton-425674394,$370 Per Week,370.0,3,1,1
https://www.realestate.com.au/property-house-nsw-hamilton-425661730,$400 wk,400.0,2,1,0
https://www.realestate.com.au/property-house-nsw-hamilton-425641726,$430 per week,430.0,3,1,0
https://www.realestate.com.au/property-house-nsw-hamilton-425598510,$445 per week,445.0,2,1,0
https://www.realestate.com.au/property-house-nsw-hamilton-425240726,$450 per week,450.0,2,1,2
https://www.realestate.com.au/property-house-nsw-hamilton-418551550,$460,460.0,3,2,2
https://www.realestate.com.au/property-apartment-nsw-hamilton-425634798,$490 per week,490.0,2,2,1
https://www.realestate.com.au/property-house-nsw-hamilton-413798459,$490 per week,490.0,3,1,0
https://www.realestate.com.au/property-townhouse-nsw-hamilton-422259406,$495 per week,495.0,2,1,0
https://www.realestate.com.au/property-house-nsw-hamilton-425584498,$500 per week,500.0,2,2,1
https://www.realestate.com.au/property-house-nsw-hamilton-422336102,$500 per week,500.0,3,1,1
https://www.realestate.com.au/property-house-nsw-hamilton-425469514,$510 Per Week,510.0,3,1,0
https://www.realestate.com.au/property-house-nsw-hamilton-425689342,$520,520.0,2,1,1
https://www.realestate.com.au/property-house-nsw-hamilton-425672558,$520.00 Per Week,260.0,3,2,0
https://www.realestate.com.au/property-apartment-nsw-hamilton-423166366,$540 Per Week,540.0,2,2,1
https://www.realestate.com.au/property-apartment-nsw-hamilton-425672714,$550 per week,550.0,2,2,1
https://www.realestate.com.au/property-townhouse-nsw-hamilton-425358318,$575 per week,575.0,2,1,1
https://www.realestate.com.au/property-house-nsw-hamilton-425621150,$595,595.0,3,2,2
https://www.realestate.com.au/property-house-nsw-hamilton-425646222,$620 per week,620.0,3,2,1
