link,price,price_num,beds,bath,cars
https://www.realestate.com.au/property-apartment-nsw-manly-423788866,...1000 for two bedroom,1000.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425116706,$625 Per Week,625.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-manly-404628583,$670 per week,670.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425596398,$695 per week,695.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425038174,$695 Per Week,695.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425548558,$700 per week,700.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425535222,$710 per week,710.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425582794,$730 per week,730.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-manly-425553026,$730 per week,730.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425651902,Offers Over $750 Per Week,750.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425546746,$750 per week,750.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425539954,$750.00 per week,375.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425535106,$750 per week,750.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425290678,Deposit Received - Open Home Cancelled,,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-407732989,$760 per week,760.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-manly-423821890,$770 per week,770.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425551650,$775 per week,775.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425624858,$795 per week,795.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-manly-425348046,$795 per week,795.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425108506,$810 per week,810.0,2,1,2
https://www.realestate.com.au/property-unit-nsw-manly-423692750,$845 per week,845.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-424672298,$850 per week,850.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-manly-425640994,$870 per week,870.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-manly-412058152,$890 per week,890.0,2,1,1
https://www.realestate.com.au/property-townhouse-nsw-manly-425505442,$895 per week,895.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-manly-404334625,$895 per week,895.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425675902,$900 Per Week,900.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-manly-406999711,$900 per week,900.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425172894,Leased! Leased!,,3,2,1
https://www.realestate.com.au/property-house-nsw-manly-424882510,$950 per week,950.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425534006,$980 per week,980.0,2,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-425512198,$980 per week,980.0,3,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425623902,$990,990.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425681110,$995 per week,995.0,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425641774,$1000 per week,1000.0,3,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-412347183,"$1,000 per week",,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425633726,$1075,1075.0,2,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-425660942,$1100 Per Week,1100.0,3,1,1
https://www.realestate.com.au/property-unit-nsw-manly-424219406,"$1,100 per week",,2,1,1
https://www.realestate.com.au/property-apartment-nsw-manly-425536446,$1100 per week,1100.0,3,2,2
https://www.realestate.com.au/property-unit-nsw-manly-425060154,Leased,,3,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-425599066,$1150.00,575.0,2,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-425290402,"$1,150 per week",,4,1,0
https://www.realestate.com.au/property-duplex+semi+detached-nsw-manly-425242802,"$1,150 Per Week",,3,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425582138,"$1,170 Per Week",,2,2,1
https://www.realestate.com.au/property-unit-nsw-manly-425676486,"$1,175 per week",,2,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-425682614,"$1,250 per week",,2,2,1
https://www.realestate.com.au/property-unit-nsw-manly-425675058,$1200 Per Week,1200.0,3,1,1
https://www.realestate.com.au/property-duplex+semi+detached-nsw-manly-425646714,$1200 per week,1200.0,3,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425587426,"$1,200",,2,2,1
https://www.realestate.com.au/property-unit-nsw-manly-425343982,$1200 per week,1200.0,3,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-419583118,$1200 p.w,1200.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-manly-425583146,$1250 per week,1250.0,3,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-425402310,"$1,250 per week",,3,2,0
https://www.realestate.com.au/property-apartment-nsw-manly-424843090,"$1,250 per week",,2,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-425495718,"$1,300",,2,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-424296038,"$1,300 per week",,3,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-425448050,"$1,350 per week",,2,3,1
https://www.realestate.com.au/property-unit-nsw-manly-425578090,"$1,380",,2,2,1
https://www.realestate.com.au/property-house-nsw-manly-422606962,"$1,390 per week",,3,1,2
https://www.realestate.com.au/property-apartment-nsw-manly-425460242,"$1,400",,2,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-417839990,$1400 p.w.,1400.0,2,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-411035919,"$1,475 p.w.",,3,3,1
https://www.realestate.com.au/property-townhouse-nsw-manly-425594722,$1495 per week,1495.0,4,2,1
https://www.realestate.com.au/property-unit-nsw-manly-425358394,"$1,550 per week",,3,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-419982142,"$1,600 per week",,3,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-404283270,$1600 p.w. - $2400 p.w.,2000.0,2,2,1
https://www.realestate.com.au/property-house-nsw-manly-414947943,"$1,695 per week",,4,2,4
https://www.realestate.com.au/property-unit-nsw-manly-425493022,"$1,750 per week",,3,2,2
https://www.realestate.com.au/property-house-nsw-manly-403151288,$1750 p.w.,1750.0,3,1,2
https://www.realestate.com.au/property-duplex+semi+detached-nsw-manly-422660194,"...OR $1,750 UNFURNISHED",,3,2,1
https://www.realestate.com.au/property-house-nsw-manly-425634202,"$1,800",,4,3,0
https://www.realestate.com.au/property-apartment-nsw-manly-425289026,$1850 per week,1850.0,3,2,2
https://www.realestate.com.au/property-terrace-nsw-manly-425276234,...p.w. Fully Furnished,,2,1,0
https://www.realestate.com.au/property-unit-nsw-manly-425246090,"$1,850 per week",,3,2,1
https://www.realestate.com.au/property-house-nsw-manly-425604850,"$2,000",,4,3,1
https://www.realestate.com.au/property-house-nsw-manly-425589386,"$2,000 per week",,4,2,0
https://www.realestate.com.au/property-apartment-nsw-manly-421306722,LEASED,,4,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-422602806,"$2,000 per week",,3,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-408774359,"$2,200 per week",,3,2,2
https://www.realestate.com.au/property-apartment-nsw-manly-424858462,"$2,200",,3,2,1
https://www.realestate.com.au/property-apartment-nsw-manly-420068530,"$2,500 per week",,4,3,2
https://www.realestate.com.au/property-house-nsw-manly-425622410,"$2,750 per week",,4,3,2
https://www.realestate.com.au/property-apartment-nsw-manly-422648046,"$2,800 per week",,3,3,2
https://www.realestate.com.au/property-house-nsw-manly-425363998,"$3,000",,4,2,2
https://www.realestate.com.au/property-house-nsw-manly-418120758,"$3,000 per week",,5,3,2
https://www.realestate.com.au/property-house-nsw-manly-419878586,"$3,800 per week",,3,3,2
https://www.realestate.com.au/property-house-nsw-manly-418479470,"$4,800 per week",,5,4,2
